degree_id,degree_name,degree_code,created_at
185,Certificate IV in Training and Assessment,TAE40122,2026-02-22 11:50:04.268711+00
187,Certificate III in Individual Support,CHC33021,2026-02-22 11:50:04.268711+00
188,Doctor of Psychology,Clinical and Forensic Psychology,2026-02-22 11:50:04.268711+00
189,Bachelor of Business Analytics and Analysis/Bachelor of Cyber Security,BB-BAACYB,2026-02-22 11:50:04.268711+00
190,De-mystifying Industry 4.0 / Digital Manufacturing,SH-DMIDM,2026-02-22 11:50:04.268711+00
191,Mediation Training,MEFUIS,2026-02-22 11:50:04.268711+00
192,Certificate III in Laboratory Skills,MSL30118,2026-02-22 11:50:04.268711+00
193,Course in Introduction to the National Disability Insurance Scheme,22469VIC,2026-02-22 11:50:04.268711+00
195,Bachelor of Data Science,BA-DS,2026-02-22 11:50:04.268711+00
196,Master of Media and Communication,MA-MCO,2026-02-22 11:50:04.268711+00
198,Executive Coaching Program,SS-COACH1,2026-02-22 11:50:04.268711+00
199,Associate Degree in Applied Technologies,AB-APPTEC,2026-02-22 11:50:04.268711+00
201,Graduate Certificate of Human Resource Management,GC-HRM,2026-02-22 11:50:04.268711+00
203,Graduate Diploma of Entrepreneurship,GD-ENT,2026-02-22 11:50:04.268711+00
205,Masterclass: Change Management,MCBCM,2026-02-22 11:50:04.268711+00
206,Certificate IV in Building and Construction,CPC40120,2026-02-22 11:50:04.268711+00
209,Graduate Certificate of Design,GC-DESG,2026-02-22 11:50:04.268711+00
210,Master of Physiotherapy,MA-PHYS,2026-02-22 11:50:04.268711+00
211,Leading in a Hybrid Environment,LEADHYBRD,2026-02-22 11:50:04.268711+00
212,Graduate Certificate in Client Assessment and Case Management,CHC82015,2026-02-22 11:50:04.268711+00
213,Bachelor of Nursing,BA-NUR,2026-02-22 11:50:04.268711+00
214,Graduate Certificate of Media and Communication,GC-MCO,2026-02-22 11:50:04.268711+00
215,Graduate Certificate of Forensic Psychiatric Practice,GC-FPP,2026-02-22 11:50:04.268711+00
216,Master of Research,MR-INTHAS,2026-02-22 11:50:04.268711+00
217,Principles of Design Thinking,DFM-PRDSTH,2026-02-22 11:50:04.268711+00
218,Master of Engineering Practice/ Master of Construction Management Practice,MM-EPRCMP,2026-02-22 11:50:04.268711+00
219,Graduate Certificate of Psychology,GC-PSYS,2026-02-22 11:50:04.268711+00
220,Course in Initial EAL,22482VIC,2026-02-22 11:50:04.268711+00
221,Bachelor of Media and Communication/Bachelor of Business,BB-MCMNBUS1,2026-02-22 11:50:04.268711+00
222,Diploma of Leadership and Management,BSB50420,2026-02-22 11:50:04.268711+00
223,Graduate Diploma of Forensic Behavioural Science,GD-FBS,2026-02-22 11:50:04.268711+00
224,selectedCertificate IV in Screen Media,Online delivery,2026-02-22 11:50:04.268711+00
225,Certificate IV in Disability Support,CHC43121,2026-02-22 11:50:04.268711+00
226,Certificate II in EAL,Access,2026-02-22 11:50:04.268711+00
227,Master of Architecture and Urban Design,MA-ARCUD,2026-02-22 11:50:04.268711+00
229,Diploma of Building and Construction,Building,2026-02-22 11:50:04.268711+00
231,Diploma of Engineering Technology,22478VIC,2026-02-22 11:50:04.268711+00
233,Bachelor of Arts/Bachelor of Psychological Sciences,BB-ARTPSY,2026-02-22 11:50:04.268711+00
235,Master of Professional Engineering,MA-EPRE,2026-02-22 11:50:04.268711+00
236,Graduate Certificate of Business Information Systems,GC-BIS1,2026-02-22 11:50:04.268711+00
237,Masterclass: Design Business Strategy,MCBBS,2026-02-22 11:50:04.268711+00
238,Master of Aviation,MA-AV,2026-02-22 11:50:04.268711+00
